start;end;Project;Country;Watershed;siteID;W1stvex;W2stvex;status;landuse;type.protection;National.Park;Other.Park.or.general.Reservee.gregional;Natura.2000;Ramsar;Type.of.water.body;Sediment.type;Capture.your.location;latitude;longitude;altitude;precision;Sampling.Time;Sampling.Date;Water.TemperatureC;pH;SPC;Cond;O2%;dO2;Turbidity;Turbidity.Units;leafsp;Quercusoak;Piceaspruce;Acermaple;Ulmuselm;Fagusbeech;Betulabirch;Populuspoplar;Salixwillow;Fraxinusash;Pinuspine;Otherdefine.in.comments.at.end;Additional.field.notes.or.comments;id;uuid;submissiontime;validationstatus;notes;status.1;submittedby;version;tags;index
2023-10-05T17:03:20.850+02:00;2023-10-05T17:09:29.090+02:00;FUNACTION;Sweden;Norrstrom (NR);NR12T1;252;240;Protected area;Agriculture-plant;Other Park or general Reserve (e.g. regional);0;1;0;0;Stream or river (lotic);gravel;59.77057 17.54734 0 0;59.77057;17.54734;0;0;15:24:00.000+02:00;2023-10-04;10.6;7;705;512;83.3;9.8;6.8;FNU;Betula (birch);0;0;0;0;0;1;0;0;0;0;0;Partially protected. Border between protected and non-protected--and was sampled not far into the protected area. Not ideal, but best possible for match to site NR11T1;275447669;0b90698f-794d-40ea-aa3b-619f1cb8fcdf;2023-10-05T15:09:29;;NA;submitted_via_web;jand_bio;v5CxJWaLSUmsdhg44TWR9i;NA;12
2023-10-04T13:01:11.300+02:00;2023-10-04T13:12:55.249+02:00;FUNACTION;Italy;Ticino-Po It (TP);TP11T1;NA;NA;Non-protected area;Urban-residential;;NA;NA;NA;NA;Stream or river (lotic);silt or mud;45.1656586 9.1430872 105.0 6.173999786376953;45.1656586;9.1430872;105;6.17399978637695;13:10:00.000+02:00;2023-10-04;20.55;NA;392.8;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;278570623;fadd5188-7e31-410f-a2d5-0ca78177f6ba;2023-10-14T12:54:23;;NA;submitted_via_web;emanueleferrari;v5CxJWaLSUmsdhg44TWR9i;NA;13
2023-10-04T13:01:10.518+02:00;2023-10-04T15:05:58.532+02:00;FUNACTION;Italy;Ticino-Po It (TP);TP12T1;NA;NA;Non-protected area;Forest-natural (may be managed by not monocultures and straight rows etc...);;NA;NA;NA;NA;Stream or river (lotic);gravel;45.1962863 9.1664134 121.20000457763672 7.056000232696533;45.1962863;9.1664134;121.200004577637;7.05600023269653;15:02:00.000+02:00;2023-10-04;19.52;NA;530.4;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;278570747;ab3742db-b80b-4139-a6c3-b59a61f18696;2023-10-14T12:54:37;;NA;submitted_via_web;emanueleferrari;v5CxJWaLSUmsdhg44TWR9i;NA;14
2023-10-04T15:40:51.599+02:00;2023-10-04T15:55:09.637+02:00;FUNACTION;Italy;Ticino-Po It (TP);TP13T1;NA;NA;Protected area;Grassland, meadow, similar;Natura 2000;0;0;1;0;Stream or river (lotic);sand;45.1433948 9.227359 111.19937338028103 3.9539999961853027;45.1433948;9.227359;111.199373380281;3.9539999961853;15:53:00.000+02:00;2023-10-04;21.55;NA;265.1;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;278570906;79e264f7-4bd5-49a6-80fa-6e2a96f691b5;2023-10-14T12:54:55;;NA;submitted_via_web;emanueleferrari;v5CxJWaLSUmsdhg44TWR9i;NA;15
2023-10-04T16:48:08.727+02:00;2023-10-04T16:57:46.582+02:00;FUNACTION;Italy;Ticino-Po It (TP);TP14T1;NA;NA;Protected area;Agriculture-plant;Natura 2000;0;0;1;0;Stream or river (lotic);silt or mud;45.1230737 9.269701 91.30495556537062 4.699999809265137;45.1230737;9.269701;91.3049555653706;4.69999980926514;16:51:00.000+02:00;2023-10-04;21.8;NA;400;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;278570989;8b7f9c76-885f-4444-bf97-3b2b3dc117ee;2023-10-14T12:55:06;;NA;submitted_via_web;emanueleferrari;v5CxJWaLSUmsdhg44TWR9i;NA;16
2023-10-04T18:07:38.257+02:00;2023-10-04T18:14:55.204+02:00;FUNACTION;Italy;Ticino-Po It (TP);TP15T1;NA;NA;Protected area;Forest-tree farm (heavy management);Natura 2000;0;0;1;0;Stream or river (lotic);silt or mud;45.1641368 9.2039063 99.0271922564134 4.900000095367432;45.1641368;9.2039063;99.0271922564134;4.90000009536743;18:11:00.000+02:00;2023-10-04;22.12;NA;401.5;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Almost lotic;278571078;76a7b09a-f7f1-46b0-8f27-cc7843078d93;2023-10-14T12:55:14;;NA;submitted_via_web;emanueleferrari;v5CxJWaLSUmsdhg44TWR9i;NA;17
2023-10-05T14:16:57.171+02:00;2023-10-09T12:39:03.070+02:00;FUNACTION;Italy;Versilia (VA);VA03T1;NA;NA;Non-protected area;Clear cut (not enough regrowth to call a forest);;NA;NA;NA;NA;Stream or river (lotic);silt or mud;43.9822539 10.1643541 42.36419926118106 4.699999809265137;43.9822539;10.1643541;42.3641992611811;4.69999980926514;12:36:00.000+02:00;2023-10-09;25.04;7.47;52620.9;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;278571139;2c2bb932-6b76-4337-99c5-4a14c31966f8;2023-10-14T12:55:20;;NA;submitted_via_web;emanueleferrari;v5CxJWaLSUmsdhg44TWR9i;NA;18
2023-10-09T13:13:49.184+02:00;2023-10-09T13:26:59.266+02:00;FUNACTION;Italy;Versilia (VA);VA05T1;NA;NA;Protected area;Urban-residential;Natura 2000;0;0;1;0;Stream or river (lotic);silt or mud;43.985296336097875 10.167657248675823 0.0 0.0;43.9852963360979;10.1676572486758;0;0;13:17:00.000+02:00;2023-10-09;22.51;7.46;9047.3;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;278571485;6bf8d27b-8fcc-43de-8047-4b29af3e9a92;2023-10-14T12:55:40;;NA;submitted_via_web;emanueleferrari;v5CxJWaLSUmsdhg44TWR9i;NA;19
2023-10-11T16:18:38.303+02:00;2023-10-11T16:26:00.937+02:00;FUNACTION;Italy;Versilia (VA);VA24T1;NA;NA;Protected area;Forest-natural (may be managed by not monocultures and straight rows etc...);Natura 2000;0;0;1;0;Stream or river (lotic);rock (typically larger than adult fist);44.0131419 10.2587221 211.26811697799712 8.595999717712402;44.0131419;10.2587221;211.268116977997;8.5959997177124;16:20:00.000+02:00;2023-10-11;18.2;7.84;265.2;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;278571719;4f50384d-33de-44d1-93c8-76da50af377f;2023-10-14T12:55:51;;NA;submitted_via_web;emanueleferrari;v5CxJWaLSUmsdhg44TWR9i;NA;20
2023-10-12T09:32:06.652+02:00;2023-10-12T09:38:58.992+02:00;FUNACTION;Italy;Versilia (VA);VA25T1;NA;NA;Protected area;Forest-natural (may be managed by not monocultures and straight rows etc...);Natura 2000;0;0;1;0;Stream or river (lotic);gravel;44.0204432 10.2204827 209.2230146881193 4.900000095367432;44.0204432;10.2204827;209.223014688119;4.90000009536743;09:36:00.000+02:00;2023-10-12;16.82;8.05;117.3;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;278572021;ee94234e-f51b-4f5e-8a72-3c30c1366d79;2023-10-14T12:56:03;;NA;submitted_via_web;emanueleferrari;v5CxJWaLSUmsdhg44TWR9i;NA;21
2023-10-12T10:01:17.769+02:00;2023-10-12T10:03:29.583+02:00;FUNACTION;Italy;Versilia (VA);VA26T1;NA;NA;Protected area;Forest-natural (may be managed by not monocultures and straight rows etc...);Natura 2000;0;0;1;0;Stream or river (lotic);gravel;44.0197692 10.2199531 284.70486863702536 4.900000095367432;44.0197692;10.2199531;284.704868637025;4.90000009536743;10:02:00.000+02:00;2023-10-12;16.96;7.93;256.1;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;278572318;031634db-ab8d-4fa2-add9-2afab67dc591;2023-10-14T12:56:19;;NA;submitted_via_web;emanueleferrari;v5CxJWaLSUmsdhg44TWR9i;NA;22
2023-10-12T11:40:49.065+02:00;2023-10-12T11:43:03.678+02:00;FUNACTION;Italy;Versilia (VA);VA27T1;NA;NA;Protected area;Forest-natural (may be managed by not monocultures and straight rows etc...);Natura 2000;0;0;1;0;Stream or river (lotic);rock (typically larger than adult fist);44.0368174 10.2288304 429.1588202090934 4.900000095367432;44.0368174;10.2288304;429.158820209093;4.90000009536743;11:41:00.000+02:00;2023-10-12;16.88;8.07;253.5;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;278572483;37d299e2-10a7-4507-bdb9-b16c931df934;2023-10-14T12:56:29;;NA;submitted_via_web;emanueleferrari;v5CxJWaLSUmsdhg44TWR9i;NA;23
2023-10-12T12:39:10.755+02:00;2023-10-12T12:42:01.678+02:00;FUNACTION;Italy;Versilia (VA);VA28T1;NA;NA;Protected area;Forest-natural (may be managed by not monocultures and straight rows etc...);Natura 2000;0;0;1;0;Stream or river (lotic);gravel;44.0324773 10.2229278 299.2490626629442 4.900000095367432;44.0324773;10.2229278;299.249062662944;4.90000009536743;12:40:00.000+02:00;2023-10-12;17.63;8.18;252.4;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;278572721;56268a62-2363-4a6c-8571-657dd41f7d1a;2023-10-14T12:56:47;;NA;submitted_via_web;emanueleferrari;v5CxJWaLSUmsdhg44TWR9i;NA;24
2023-10-12T13:11:01.893+02:00;2023-10-12T13:12:52.374+02:00;FUNACTION;Italy;Versilia (VA);VA29T1;NA;NA;Protected area;Forest-natural (may be managed by not monocultures and straight rows etc...);Natura 2000;0;0;1;0;Stream or river (lotic);gravel;44.0330199 10.2236921 327.61485052481294 8.87600040435791;44.0330199;10.2236921;327.614850524813;8.87600040435791;13:11:00.000+02:00;2023-10-12;17.76;8.19;252.8;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;278572906;cb3ee091-5734-40b4-83c1-66c84991cafc;2023-10-14T12:57:02;;NA;submitted_via_web;emanueleferrari;v5CxJWaLSUmsdhg44TWR9i;NA;25
2023-10-12T13:28:58.259+02:00;2023-11-14T15:35:54.437+01:00;FUNACTION;Italy;Versilia (VA);VA30T1;NA;NA;Protected area;Forest-natural (may be managed by not monocultures and straight rows etc...);Natura 2000;0;0;1;0;Lake or pond (lentic);rock (typically larger than adult fist);44.0348131 10.2254521 357.6055228142068 4.900000095367432;44.0348131;10.2254521;357.605522814207;4.90000009536743;13:29:00.000+02:00;2023-10-12;16.5;8.21;256.7;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;278572972;e7be2b91-4532-4005-9a76-6bbfc8c09e7a;2023-10-14T12:57:13;;NA;submitted_via_web;emanueleferrari;v5CxJWaLSUmsdhg44TWR9i;NA;26
2023-10-02T10:43:17.051+02:00;2023-10-02T11:01:39.327+02:00;FUNACTION;Italy;Ticino-Po It (TP);TP01T1;NA;NA;Non-protected area;Urban-residential;;NA;NA;NA;NA;Stream or river (lotic);silt_or_mud;45.7245324 8.6269156 250.1999969482422 23.80500030517578;45.7245324;8.6269156;250.199996948242;23.8050003051758;10:57:00.000+02:00;2023-10-02;22.1;0;202.4;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;278574816;21d1b475-07cf-407d-92ad-8f31b0892ce1;2023-10-14T13:00:39;;NA;submitted_via_web;emanueleferrari;v3iNEfgbcbM3mKahPibyHr;NA;27
1;1;1;1;1;1;NA;NA;;;;NA;NA;NA;NA;;;;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;;;NA;;;;NA;NA
2023-10-02T11:41:01.790+02:00;2023-10-02T11:46:43.254+02:00;FUNACTION;Italy;Ticino-Po It (TP);TP02T1;NA;NA;Protected area;Urban-residential;Natura 2000;0;0;1;0;Stream or river (lotic);sand;45.7235254 8.6313451 247.09999084472656 10.114999771118164;45.7235254;8.6313451;247.099990844727;10.1149997711182;11:43:00.000+02:00;2023-10-02;21.1;NA;170.7;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;281309492;a33adfa6-a343-4251-a76c-9712a9b87c5f;2023-10-22T11:20:53;;NA;submitted_via_web;emanueleferrari;v3iNEfgbcbM3mKahPibyHr;NA;28
1;1;1;1;1;1;NA;NA;;;;NA;NA;NA;NA;;;;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;;;NA;;;;NA;NA
2023-10-02T12:32:38.803+02:00;2023-10-02T12:36:02.236+02:00;FUNACTION;Italy;Ticino-Po It (TP);TP03T1;NA;NA;Non-protected area;Grassland, meadow, similar;;NA;NA;NA;NA;Stream or river (lotic);silt_or_mud;45.8391676 8.6259906 271.469970703125 21.77199935913086;45.8391676;8.6259906;271.469970703125;21.7719993591309;12:34:00.000+02:00;2023-10-02;21.08;NA;360;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Hourses nearby;281309996;047d161f-586a-4875-b5fc-35df0b3f5657;2023-10-22T11:22:45;;NA;submitted_via_web;emanueleferrari;v3iNEfgbcbM3mKahPibyHr;NA;29
1;1;1;1;1;1;NA;NA;;;;NA;NA;NA;NA;;;;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;;;NA;;;;NA;NA
2023-10-02T13:01:12.589+02:00;2023-10-02T13:04:53.803+02:00;FUNACTION;Italy;Ticino-Po It (TP);TP04T1;NA;NA;Protected area;Clear cut (not enough regrowth to call a forest);;NA;NA;NA;NA;Lake or pond (lentic);sand;45.8378222 8.6218613 244.29998779296875 11.168999671936035;45.8378222;8.6218613;244.299987792969;11.168999671936;13:02:00.000+02:00;2023-10-02;20.68;NA;207.7;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;281311733;4e425ab9-ee79-4af7-8967-3e73bb6e7e2f;2023-10-22T11:30:23;;NA;submitted_via_web;emanueleferrari;v3iNEfgbcbM3mKahPibyHr;NA;30
1;1;1;1;1;1;NA;NA;;;;NA;NA;NA;NA;;;;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;;;NA;;;;NA;NA
2023-10-02T15:33:44.733+02:00;2023-10-02T15:52:34.082+02:00;FUNACTION;Italy;Ticino-Po It (TP);TP05T1;NA;NA;Non-protected area;Forest-natural (may be managed by not monocultures and straight rows etc...);;NA;NA;NA;NA;Stream or river (lotic);silt_or_mud;45.7145593 8.716447 295.259033203125 23.63599967956543;45.7145593;8.716447;295.259033203125;23.6359996795654;15:34:00.000+02:00;2023-10-02;18.48;NA;530.9;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;281311949;4a033acd-86ca-4f17-9dc6-26344d8891a1;2023-10-22T11:31:32;;NA;submitted_via_web;emanueleferrari;v3iNEfgbcbM3mKahPibyHr;NA;31
1;1;1;1;1;1;NA;NA;;;;NA;NA;NA;NA;;;;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;;;NA;;;;NA;NA
2023-10-23T15:29:46.500+02:00;2023-10-23T15:55:10.532+02:00;FUNACTION;Sweden;Lulealven (KU);LU01T1;71;70;;Agriculture-plant;;NA;NA;NA;NA;Stream or river (lotic);silt or mud;65.6980598 21.8324327 0 0;65.6980598;21.8324327;0;0;12:30:00.000+02:00;2023-10-10;1.5;5;100.1;55.2;93.7;13.13;8.1;FNU;Betula (birch);0;0;0;0;0;1;0;0;0;0;0;creek was human-built in the 1950s/1960s. After main road was built in the 60s no more fish came into the stream.On the other side of the road, Downstream from sampling point, a new water station has been built by the municipality.;281620022;04a3f17d-ab59-4fcb-9b3e-3694696eef67;2023-10-23T13:55:20;;NA;submitted_via_web;jand_bio;v5CxJWaLSUmsdhg44TWR9i;NA;32
1;1;1;1;1;1;NA;NA;;;;NA;NA;NA;NA;;;;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;;;NA;;;;NA;NA
2023-10-23T15:55:10.549+02:00;2023-10-23T16:19:33.147+02:00;FUNACTION;Sweden;Lulealven (KU);LU02T1;489;480;;Agriculture-plant;;NA;NA;NA;NA;Stream or river (lotic);silt or mud;65.8457 21.52039 0 0;65.8457;21.52039;0;0;14:29:00.000+02:00;2023-10-10;6;5;24.5;15.6;102.3;12.72;-0.6;FNU;Betula (birch);0;0;0;0;0;1;0;0;0;0;0;is small side channel from main river. agriculture on sampled side, forest on other side.;281629024;f0836a13-ea6a-4073-b18c-a766e8b0f3e9;2023-10-23T14:19:35;;NA;submitted_via_web;jand_bio;v5CxJWaLSUmsdhg44TWR9i;NA;33
1;1;1;1;1;1;NA;NA;;;;NA;NA;NA;NA;;;;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;;;NA;;;;NA;NA
2023-10-23T16:19:33.170+02:00;2023-10-23T17:33:14.656+02:00;FUNACTION;Sweden;Lulealven (KU);LU03T1;265;246;Non-protected area;Clear cut (not enough regrowth to call a forest);;NA;NA;NA;NA;Stream or river (lotic);rock (typically larger than adult fist);65.89747 21.38217 0 0;65.89747;21.38217;0;0;15:19:00.000+02:00;2023-10-10;1.1;5;28.9;15.7;97.5;13.84;2.5;;Betula (birch);0;0;0;0;0;1;0;0;0;0;0;Stream is fed by a lake that is 2 km upstream. Lake is located within a military area.;281652460;be6ba0f8-aec1-414f-9ea3-f79d625bbe16;2023-10-23T15:33:16;;NA;submitted_via_web;jand_bio;v5CxJWaLSUmsdhg44TWR9i;NA;34
1;1;1;1;1;1;NA;NA;;;;NA;NA;NA;NA;;;;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;;;NA;;;;NA;NA
2023-10-23T17:33:14.677+02:00;2023-10-23T17:47:47.597+02:00;FUNACTION;Sweden;Lulealven (KU);LU04T1;400;465;Non-protected area;Forest-tree farm (heavy management);;NA;NA;NA;NA;Stream or river (lotic);sand;66.2631576 20.8722109 0 0;66.2631576;20.8722109;0;0;16:37:00.000+02:00;2023-10-10;1.5;5;31.7;17.5;96.4;13.5;0.8;FNU;Betula (birch);0;0;0;0;0;1;0;0;0;0;0;Kallbäcken;281656618;57ebdd27-e67f-48cd-9568-c62b202a8f23;2023-10-23T15:47:59;;NA;submitted_via_web;jand_bio;v5CxJWaLSUmsdhg44TWR9i;NA;35
1;1;1;1;1;1;NA;NA;;;;NA;NA;NA;NA;;;;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;;;NA;;;;NA;NA
